"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":2867}]","2869","instructions","0","2871","0.0-0.0","","","",""
"","3451","similarity_demo","1","7333","0.0-1.0","7","[""img/bluejay1.jpg"",""img/bluejay2.jpg""]","",""
"[{""page_index"":0,""viewing_time"":1369}]","1370","instructions","2","9703","0.0-2.0","","","",""
"","2602","similarity_demo","3","13313","0.0-3.0","5","[""img/bluejay1.jpg"",""img/cardinal1.jpg""]","",""
"[{""page_index"":0,""viewing_time"":1699}]","1699","instructions","4","16014","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":7289}]","7290","instructions","5","24304","0.0-5.0","","","",""
"","5675","similarity","6","30992","0.0-6.0-0.0","3","[""img/0864/49150900-7f25-4ce8-8d10-9b47a71d1997.jpg"",""img/0860/f44ba3fb-03a2-42f0-8509-2c1ded493086.jpg""]","",""
"","5111","similarity","7","37110","0.0-6.0-1.0","5","[""img/0884/baabff07-71d8-424e-ac29-644768380941.jpg"",""img/0760/317fc071-99e6-43cb-9099-2e50aa79ccc2.jpg""]","",""
"","6344","similarity","8","44463","0.0-6.0-2.0","3","[""img/0886/bd45b474-5559-4ea5-83ff-140bce19f5fa.jpg"",""img/0881/84397291-bc14-4fbf-90e8-241e486ab0fe.jpg""]","",""
"","5808","similarity","9","51279","0.0-6.0-3.0","4","[""img/0866/4a87911a-d5be-4d4e-ab8e-3d1f581bf507.jpg"",""img/0881/4bd34581-94d8-4e88-8c89-5cef864ca3be.jpg""]","",""
"","5031","similarity","10","57319","0.0-6.0-4.0","3","[""img/0868/5fa7f9d0-f0e5-454c-8224-74d964818f56.jpg"",""img/0885/05af267f-b982-498d-9807-ccd54689f9b4.jpg""]","",""
"","3872","similarity","11","62198","0.0-6.0-5.0","1","[""img/0757/e2cf79e3-9d9f-49eb-a09d-0028ca21d242.jpg"",""img/0866/a04d37f0-99dd-478a-b6c6-58b215138f84.jpg""]","",""
"","4280","similarity","12","67485","0.0-6.0-6.0","4","[""img/0868/8b0b8473-e2c0-4331-aa56-c3a5c29369da.jpg"",""img/0864/4bd81bc6-c13d-46df-95a9-485886dc7c1b.jpg""]","",""
"","5353","similarity","13","73846","0.0-6.0-7.0","7","[""img/0864/0f537697-a314-47c3-a8cc-8df23b7e536c.jpg"",""img/0864/6f631579-acf1-415c-a42c-1207f62a8d99.jpg""]","",""
"","5416","similarity","14","80270","0.0-6.0-8.0","5","[""img/0757/31d8ee3d-1b79-4d6a-9347-f91c87c00f92.jpg"",""img/0881/c24f3051-eefa-42de-aba6-fccb56d93c70.jpg""]","",""
