"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sim_score","stimulus","responses","answer"
"[{""page_index"":0,""viewing_time"":2050}]","2051","instructions","0","2053","0.0-0.0","","","",""
"","1828","similarity_demo","1","4892","0.0-1.0","4","[""img/bluejay1.jpg"",""img/bluejay2.jpg""]","",""
"[{""page_index"":0,""viewing_time"":304}]","305","instructions","2","6199","0.0-2.0","","","",""
"","503","similarity_demo","3","7710","0.0-3.0","4","[""img/bluejay1.jpg"",""img/cardinal1.jpg""]","",""
"[{""page_index"":0,""viewing_time"":227}]","227","instructions","4","8938","0.0-4.0","","","",""
"[{""page_index"":0,""viewing_time"":714}]","715","instructions","5","10655","0.0-5.0","","","",""
"","2794","similarity","6","14456","0.0-6.0-0.0","4","[""img/0868/4a8a45ed-2c4f-421b-9564-409a33ecd26c.jpg"",""img/0894/1a010553-d598-4b06-a772-81f1e7b3addb.jpg""]","",""
"","418","similarity","7","15880","0.0-6.0-1.0","4","[""img/0898/a8f16b02-e19f-423b-86c3-a36562ae1f9b.jpg"",""img/0758/20497cbe-ddae-489e-86e2-ab06985ed07c.jpg""]","",""
"","377","similarity","8","17265","0.0-6.0-2.0","4","[""img/0903/b7e3723f-fd03-4f3d-8820-f19496463a34.jpg"",""img/0894/10f22b96-040c-44f4-950b-a4963f3f506c.jpg""]","",""
"[{""page_index"":0,""viewing_time"":772}]","772","instructions","9","19037","0.0-7.0","","","",""
"","7200","image-multi-choice","10","27265","0.0-8.0-0.0","","","{""Q0"":""Yellow-rumped Warbler""}","Orange-crowned Warbler"
